epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,67.5089,0.74838,0.65328,0.93022,0.87803,0.93524,0.962,0.79113,0.71002,0.57379,0.86948,0.000707707,0.000707707,0.000707707
24,69.9252,0.80278,0.68599,0.96256,0.94835,0.9334,0.995,0.83075,0.66466,0.48164,0.85452,0.000689376,0.000689376,0.000689376
25,72.2743,0.77645,0.65716,0.93586,0.92906,0.8959,0.995,0.82772,0.64478,0.45119,0.85686,0.000671044,0.000671044,0.000671044
26,75.3796,0.69509,0.64707,0.95902,0.83954,0.91057,0.995,0.81657,0.63326,0.50866,0.85769,0.000652712,0.000652712,0.000652712
27,78.2213,0.68575,0.58668,0.92641,0.88278,0.88625,0.9915,0.81075,0.64525,0.54586,0.85942,0.000634381,0.000634381,0.000634381
28,80.5982,0.63312,0.54431,0.91222,0.89037,0.92986,0.995,0.82488,0.64043,0.46534,0.85917,0.000616049,0.000616049,0.000616049
29,82.8695,0.67963,0.58762,0.93113,0.94243,0.97778,0.995,0.82004,0.66544,0.40565,0.85768,0.000597718,0.000597718,0.000597718
30,85.2577,0.68697,0.62449,0.92731,0.96555,0.96519,0.995,0.80703,0.66359,0.39087,0.87131,0.000579386,0.000579386,0.000579386
31,87.7105,0.80874,0.63973,0.95106,0.97531,1,0.995,0.78828,0.6517,0.38499,0.87557,0.000561055,0.000561055,0.000561055
32,91.2519,0.77545,0.56603,0.97027,0.89757,0.95123,0.995,0.81716,0.6491,0.45757,0.86098,0.000542723,0.000542723,0.000542723
33,93.6594,0.71201,0.59025,0.9187,0.90255,0.9986,0.995,0.8104,0.63397,0.41966,0.84644,0.000524392,0.000524392,0.000524392
34,95.9071,0.71258,0.54161,0.91915,0.95342,0.98616,0.995,0.80393,0.59884,0.3919,0.83793,0.00050606,0.00050606,0.00050606
35,98.1706,0.61557,0.48168,0.90967,0.97187,0.98369,0.995,0.8535,0.56655,0.38975,0.82681,0.000487729,0.000487729,0.000487729
36,100.627,0.72029,0.57115,0.93501,0.93514,0.98929,0.995,0.86307,0.57377,0.38446,0.82505,0.000469397,0.000469397,0.000469397
37,103.769,0.60247,0.54158,0.8623,0.92741,0.97685,0.995,0.87892,0.5735,0.38842,0.8233,0.000451066,0.000451066,0.000451066
38,106.727,0.63893,0.47215,0.88884,0.94725,0.99096,0.995,0.85322,0.6013,0.39136,0.8261,0.000432734,0.000432734,0.000432734
39,109.02,0.7167,0.55317,0.92981,0.94194,0.98447,0.995,0.8425,0.61215,0.41534,0.82724,0.000414403,0.000414403,0.000414403
40,111.223,0.65019,0.50974,0.91607,0.95424,1,0.995,0.87557,0.58502,0.39695,0.82439,0.000396071,0.000396071,0.000396071
41,113.403,0.68781,0.58465,0.92809,0.95359,1,0.995,0.86024,0.59867,0.39321,0.83181,0.00037774,0.00037774,0.00037774
42,115.96,0.54834,0.42309,0.85974,0.94856,1,0.995,0.82913,0.5709,0.36795,0.82139,0.000359409,0.000359409,0.000359409
43,119.402,0.67513,0.55537,0.92739,0.94015,0.99992,0.995,0.83929,0.5489,0.35267,0.81837,0.000341077,0.000341077,0.000341077
44,121.869,0.59684,0.50696,0.88745,0.91641,0.99091,0.995,0.87906,0.54401,0.36331,0.80454,0.000322745,0.000322745,0.000322745
45,124.333,0.55786,0.41957,0.86074,0.92207,0.98231,0.995,0.88627,0.52282,0.34992,0.80146,0.000304414,0.000304414,0.000304414
46,126.649,0.57554,0.53223,0.90208,0.93781,0.96972,0.995,0.89004,0.50299,0.34773,0.79678,0.000286083,0.000286083,0.000286083
47,129.059,0.54588,0.4164,0.86275,0.96695,0.9534,0.995,0.88673,0.47656,0.3404,0.79196,0.000267751,0.000267751,0.000267751
48,132.346,0.5717,0.45516,0.85363,0.97227,0.94712,0.995,0.85889,0.48328,0.32441,0.79565,0.00024942,0.00024942,0.00024942
49,135.123,0.61126,0.44648,0.90427,0.96517,0.95071,0.995,0.85761,0.4956,0.32971,0.80072,0.000231088,0.000231088,0.000231088
50,137.435,0.51826,0.43692,0.86062,0.96042,0.96429,0.995,0.85474,0.49769,0.33112,0.80282,0.000212757,0.000212757,0.000212757
51,147.739,0.50706,0.40624,0.83821,0.95714,0.99752,0.995,0.85527,0.48828,0.32236,0.80402,0.000194425,0.000194425,0.000194425
52,153.399,0.56216,0.44112,0.91783,0.95587,1,0.995,0.87943,0.47148,0.31081,0.80437,0.000176094,0.000176094,0.000176094
53,156.622,0.54152,0.41502,0.8819,0.95603,1,0.995,0.8791,0.46752,0.31005,0.80011,0.000157762,0.000157762,0.000157762
54,160.18,0.48333,0.37157,0.84603,0.95661,1,0.995,0.87329,0.45305,0.3228,0.79478,0.000139431,0.000139431,0.000139431
55,163.291,0.47146,0.37304,0.84806,0.95703,1,0.995,0.87767,0.43456,0.31554,0.79139,0.000121099,0.000121099,0.000121099
56,165.703,0.43876,0.37995,0.82411,0.95683,1,0.995,0.87638,0.43331,0.29759,0.78984,0.000102768,0.000102768,0.000102768
57,167.875,0.45533,0.39547,0.85029,0.9596,1,0.995,0.8778,0.43754,0.29265,0.79124,8.4436e-05,8.4436e-05,8.4436e-05
58,170.184,0.47882,0.37304,0.87139,0.96113,1,0.995,0.87398,0.4413,0.29002,0.79135,6.61045e-05,6.61045e-05,6.61045e-05
59,172.58,0.42107,0.32622,0.81859,0.96234,1,0.995,0.8712,0.44426,0.28528,0.79145,4.7773e-05,4.7773e-05,4.7773e-05
60,176.335,0.47418,0.39142,0.84587,0.96231,1,0.995,0.87123,0.44936,0.28089,0.79277,2.94415e-05,2.94415e-05,2.94415e-05
